Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
INC-46316,SV-OR-CS-02,Sonstige,,10.100.62.33,Firmware Updates,,,,,,,,,,No
INC-46316,SV-OR-CS-03,Sonstige,,10.100.62.32,Firmware Updates,,,,,,,,,,No
INC-46316,SV-OR-DS-01,Sonstige,,10.100.62.31,Firmware Updates,,,,,,,,,,No
INC-46316,SV-OS-ADC-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.40,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-AV-01,Gruppe 1,Microsoft Windows Server 2019 Standard,10.100.15.33,NUR TrendMicro,,,,,,,,,,No
INC-46316,SV-OS-AV-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.33,NUR OS Updates,,,,,,,,,,No
INC-46316,SV-OS-BAK-01,Gruppe 3,Microsoft Windows Server 2019 Standard,10.100.15.18,OS Updates & Veeam,SV-OS-BAK-01,9014460145718771712,SV-OS-BAK-01,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Install Pending,2026-06-01 08:07,SV_SW-Std_Auto-Update-2,Yes
INC-46316,SV-OS-BAK-02,Gruppe 3,Ubuntu 20 LTS,10.100.15.19,OS Updates,sv-os-bak-02,1498006163785166848,sv-os-bak-02,ubuntu,debian,OFFLINE,,2026-04-23 09:04,,Yes
INC-46316,SV-OS-BAK-03,Gruppe 3,Microsoft Windows Server 2019 Standard,10.100.15.50,OS Updates & Veeam,SV-OS-BAK-03,123850073147936768,SV-OS-BAK-03.ditzlernet.local,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Install Pending,2026-04-21 12:04,SV_SW-Std_Auto-Update-1,Yes
INC-46316,SV-OS-BITST-01,AutoInstall,Microsoft Windows Server 2012 R2 Datacenter,,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-BITST-02,AutoInstall,Microsoft Windows Server 2012 R2 Datacenter,10.15.100.134,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-DC-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.11,OS Updates,SV-OS-DC-01,3793236466891575296,SV-OS-DC-01,Microsoft Windows Server 2019 Datacenter,Server (Domain Controller),ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Auto-Update-1,Yes
