"Name","OS","Kategorie","Bemerkung"
"SV-EOTEC-01","Windows Server 2016 Standard","SV_SW-Std_Manual-Update-Group-1",""
"SV-OS-NL-01","Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-1",""
"SV-OS-PRT-01","Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-1",""
"SV-OS-PRT-11","Windows Server 2025 Standard","SV_SW-Std_Manual-Update-Group-1",""
"SV-FILE-02","Windows Server 2025 Standard","SV_SW-Std_Manual-Update-Group-2","Nicht in SuperOps onboardet"
"SV-OS-OIP-01","Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-2",""
"SV-OS-PWR-01","Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-2",""
"SV-OS-SAGE-01","Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-2",""
"SV-PSG-CIM-01","Microsoft Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-4","Nicht mehr in AD gefunden"
"SV-PSG-CIM-02","Microsoft Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-4","Nicht mehr in AD gefunden"
"SV-PSG-HIST-01","Microsoft Windows Server 2019 Standard","SV_SW-Std_Manual-Update-Group-4","Nicht mehr in AD gefunden"
"SV-BI-APP-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update",""
"SV-BI-DB-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update",""
"SV-CEE-APP-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-CEE-BI-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update",""
"SV-CEE-DB-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-CEE-SOM-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-NLQA-APP-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-NLQA-DB-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-OS-BITST-01","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-OS-BITST-02","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-OS-DC-01","Windows Server 2019 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-OS-DC-02","Windows Server 2019 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
"SV-OS-FSND-11","Windows Server 2025 Standard","SV_SW-Std_NO-Update",""
"SV-OS-FSND-12","Windows Server 2025 Standard","SV_SW-Std_NO-Update",""
"SV-OS-SQLND-05","Windows Server 2022 Standard","SV_SW-Std_NO-Update",""
"SV-OS-SQLND-11","Windows Server 2025 Standard","SV_SW-Std_NO-Update",""
"SV-OS-SQLND-12","Windows Server 2025 Standard","SV_SW-Std_NO-Update",""
"SV-PRINT-06","Windows Server 2012 R2 Datacenter","SV_SW-Std_NO-Update","Nicht in SuperOps onboardet"
